SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
CA48,1/1/2000 4:05,1/1/2000 1:10,1/1/2000 3:10,120,-0.095,I,-0.096,I,NULL,0,24,0,24
CA48,1/1/2000 7:05,1/1/2000 4:10,1/1/2000 6:10,120,0.044,I,0.148,I,NULL,0,24,2,24
CA48,1/1/2000 10:05,1/1/2000 7:10,1/1/2000 9:10,120,-0.243,I,-0.356,I,NULL,0,24,2,24
CA48,1/1/2000 13:05,1/1/2000 10:10,1/1/2000 12:10,120,-0.192,I,-0.291,I,NULL,0,24,2,24
CA48,1/1/2000 16:05,1/1/2000 13:10,1/1/2000 15:10,120,-0.046,I,0.037,I,NULL,0,24,2,24
CA48,1/1/2000 19:05,1/1/2000 16:10,1/1/2000 18:10,120,0.033,I,0.157,I,NULL,0,24,2,24
CA48,1/1/2000 22:05,1/1/2000 19:10,1/1/2000 21:10,120,-0.039,I,-0.019,I,NULL,0,24,2,24
CA48,1/2/2000 1:05,1/1/2000 22:10,1/2/2000 0:10,120,0.154,I,0.054,I,NULL,0,24,2,24
CA48,1/2/2000 4:05,1/2/2000 1:10,1/2/2000 3:10,120,0.023,I,-0.065,I,NULL,0,24,2,24
CA48,1/2/2000 7:05,1/2/2000 4:10,1/2/2000 6:10,120,-0.081,I,-0.075,I,NULL,0,24,2,24
CA48,1/2/2000 10:05,1/2/2000 7:10,1/2/2000 9:10,120,-0.063,I,-0.056,I,NULL,0,24,2,24
CA48,1/2/2000 13:05,1/2/2000 10:10,1/2/2000 12:10,120,-0.216,I,-0.246,I,NULL,0,24,2,24
CA48,1/2/2000 16:05,1/2/2000 13:10,1/2/2000 15:10,120,0.063,I,-0.077,I,NULL,0,24,2,24
CA48,1/2/2000 19:05,1/2/2000 16:10,1/2/2000 18:10,120,0.001,I,-0.148,I,NULL,0,24,2,24
CA48,1/2/2000 22:05,1/2/2000 19:10,1/2/2000 21:10,120,0.097,I,0.066,I,NULL,0,24,2,24
CA48,1/3/2000 1:05,1/2/2000 22:10,1/3/2000 0:10,120,0.012,I,-0.087,I,NULL,0,24,2,24
CA48,1/3/2000 4:05,1/3/2000 1:10,1/3/2000 3:10,120,-0.099,I,0.044,I,NULL,0,24,2,24
CA48,1/3/2000 7:05,1/3/2000 4:10,1/3/2000 6:10,120,0.031,I,-0.074,I,NULL,0,24,2,24
CA48,1/3/2000 10:05,1/3/2000 7:10,1/3/2000 9:10,120,-0.136,I,-0.27,I,NULL,0,24,2,24
CA48,1/3/2000 13:05,1/3/2000 10:10,1/3/2000 12:10,120,0.201,I,0.03,I,NULL,0,24,2,24
CA48,1/3/2000 16:05,1/3/2000 13:10,1/3/2000 15:10,120,-0.002,I,-0.004,I,NULL,0,24,2,24
CA48,1/3/2000 19:05,1/3/2000 16:10,1/3/2000 18:10,120,-0.027,I,0.064,I,NULL,0,24,2,24
CA48,1/3/2000 22:05,1/3/2000 19:10,1/3/2000 21:10,120,0.244,I,0.071,I,NULL,0,24,2,24
