SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
MD96,2/27/2008 18:00,2/27/2008 15:00,2/27/2008 17:05,125,200.779,I,58.147,I,NULL,0,25,0,21
MD96,2/27/2008 20:00,2/27/2008 18:05,2/27/2008 19:05,60,5.369,I,7.712,I,NULL,0,12,2,12
MD96,2/27/2008 22:00,2/27/2008 20:05,2/27/2008 21:05,60,6.321,I,6.516,I,NULL,0,12,2,12
MD96,2/28/2008 0:00,2/27/2008 22:05,2/27/2008 23:05,60,9.962,I,11.452,I,NULL,0,12,2,12
MD96,2/28/2008 2:00,2/28/2008 0:05,2/28/2008 1:05,60,10.049,I,10.554,I,NULL,0,12,2,12
MD96,2/28/2008 4:00,2/28/2008 2:05,2/28/2008 3:05,60,10.507,I,9.498,I,NULL,0,12,2,12
MD96,2/28/2008 6:00,2/28/2008 4:05,2/28/2008 5:05,60,11.709,I,12.482,I,NULL,0,12,2,12
MD96,2/28/2008 8:00,2/28/2008 6:05,2/28/2008 7:05,60,12.901,I,11.305,I,NULL,0,12,2,12
MD96,2/28/2008 10:00,2/28/2008 8:05,2/28/2008 9:05,60,14.324,I,13.386,I,NULL,0,12,2,12
MD96,2/28/2008 11:43,2/28/2008 10:05,2/28/2008 10:20,15,6.326,I,3.183,I,NULL,0,3,2,3
MD96,2/28/2008 13:02,2/28/2008 11:58,2/28/2008 12:03,5,4.294,I,NULL,NULL,NULL,0,1,1,1
MD96,2/28/2008 17:00,2/28/2008 15:05,2/28/2008 16:05,60,14.071,I,11.661,I,NULL,0,12,2,12
MD96,2/28/2008 19:00,2/28/2008 17:05,2/28/2008 18:05,60,9.163,I,17.891,I,NULL,0,12,2,12
MD96,2/28/2008 21:00,2/28/2008 19:05,2/28/2008 20:05,60,17.375,I,11.556,I,NULL,0,12,2,12
MD96,2/28/2008 23:00,2/28/2008 21:05,2/28/2008 22:05,60,15.253,I,11.782,I,NULL,0,12,2,12
MD96,2/29/2008 1:00,2/28/2008 23:05,2/29/2008 0:05,60,16.185,I,8.884,I,NULL,0,12,2,12
MD96,2/29/2008 3:00,2/29/2008 1:05,2/29/2008 2:05,60,18.361,I,12.532,I,NULL,0,12,2,12
MD96,2/29/2008 5:00,2/29/2008 3:05,2/29/2008 4:05,60,18.516,I,8.179,I,NULL,0,12,2,12
MD96,2/29/2008 7:00,2/29/2008 5:05,2/29/2008 6:05,60,19.672,I,8.264,I,NULL,0,12,2,12
MD96,2/29/2008 9:00,2/29/2008 7:05,2/29/2008 8:05,60,22.254,I,7.713,I,NULL,0,12,2,12
MD96,2/29/2008 11:00,2/29/2008 9:05,2/29/2008 10:05,60,27.912,I,19.302,I,NULL,0,12,2,12
MD96,2/29/2008 13:00,2/29/2008 11:05,2/29/2008 12:05,60,21.962,I,15.693,I,NULL,0,12,2,12
MD96,2/29/2008 15:00,2/29/2008 13:05,2/29/2008 14:05,60,16.007,I,17.807,I,NULL,0,12,2,12
MD96,2/29/2008 18:00,2/29/2008 16:05,2/29/2008 17:05,60,17.431,I,15.374,I,NULL,0,12,2,12
MD96,2/29/2008 20:00,2/29/2008 18:05,2/29/2008 19:05,60,12.894,I,18.37,I,NULL,0,12,2,12
MD96,2/29/2008 22:00,2/29/2008 20:05,2/29/2008 21:05,60,14.63,I,29.078,I,NULL,0,12,2,12
MD96,3/1/2008 0:00,2/29/2008 22:05,2/29/2008 23:05,60,15.202,I,21.265,I,NULL,0,12,2,12
MD96,3/1/2008 2:00,3/1/2008 0:05,3/1/2008 1:05,60,17.875,I,18.84,I,NULL,0,12,2,12
MD96,3/1/2008 4:00,3/1/2008 2:05,3/1/2008 3:05,60,19.433,I,21.012,I,NULL,0,12,2,12
MD96,3/1/2008 6:00,3/1/2008 4:05,3/1/2008 5:05,60,18.636,I,20.13,I,NULL,0,12,2,12
MD96,3/1/2008 8:00,3/1/2008 6:05,3/1/2008 7:05,60,7.699,I,11.864,I,NULL,0,12,2,12
MD96,3/1/2008 10:00,3/1/2008 8:05,3/1/2008 9:05,60,9.521,I,17.022,I,NULL,0,12,2,12
MD96,3/1/2008 12:00,3/1/2008 10:05,3/1/2008 11:05,60,8.768,I,13.273,I,NULL,0,12,2,12
MD96,3/1/2008 14:00,3/1/2008 12:05,3/1/2008 13:05,60,9.253,I,8.807,I,NULL,0,12,2,12
MD96,3/1/2008 16:00,3/1/2008 14:05,3/1/2008 15:05,60,8.859,I,18.39,I,NULL,0,12,2,12
MD96,3/1/2008 19:00,3/1/2008 17:05,3/1/2008 18:05,60,10.09,I,18.197,I,NULL,0,12,2,12
MD96,3/1/2008 21:00,3/1/2008 19:05,3/1/2008 20:05,60,11.192,I,9.426,I,NULL,0,12,2,12
MD96,3/1/2008 23:00,3/1/2008 21:05,3/1/2008 22:05,60,10.007,I,8.282,I,NULL,0,12,2,12
MD96,3/2/2008 1:00,3/1/2008 23:05,3/2/2008 0:05,60,12.39,I,10.941,I,NULL,0,12,2,12
MD96,3/2/2008 3:00,3/2/2008 1:05,3/2/2008 2:05,60,14.576,I,13.159,I,NULL,0,12,2,12
MD96,3/2/2008 5:00,3/2/2008 3:05,3/2/2008 4:05,60,13.652,I,11.704,I,NULL,0,12,2,12
MD96,3/2/2008 7:00,3/2/2008 5:05,3/2/2008 6:05,60,14.015,I,10.378,I,NULL,0,12,2,12
MD96,3/2/2008 9:00,3/2/2008 7:05,3/2/2008 8:05,60,13.935,I,8.516,I,NULL,0,12,2,12
MD96,3/2/2008 11:00,3/2/2008 9:05,3/2/2008 10:05,60,18.67,I,14.393,I,NULL,0,12,2,12
MD96,3/2/2008 12:15,3/2/2008 11:05,3/2/2008 11:15,10,1.498,I,3.485,I,NULL,0,2,2,2
MD96,3/2/2008 13:20,NULL,3/2/2008 11:15,NULL,-1.575,I,35.884,I,NULL,0,NULL,0,0
MD96,3/2/2008 15:05,3/2/2008 13:25,3/2/2008 14:00,35,7.373,I,0.97,I,NULL,0,7,2,7
MD96,3/2/2008 17:00,3/2/2008 15:05,3/2/2008 16:05,60,19.557,I,120.255,I,NULL,0,12,2,12
MD96,3/2/2008 19:00,3/2/2008 17:05,3/2/2008 18:05,60,10.655,I,23.619,I,NULL,0,12,2,12
