SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
MS99,10/18/2007 14:00,10/18/2007 12:05,10/18/2007 13:05,60,31.872,I,63.77,I,NULL,0,12,0,12
MS99,10/18/2007 16:00,10/18/2007 14:05,10/18/2007 15:05,60,51.071,I,23.509,I,NULL,0,12,2,12
MS99,10/18/2007 19:00,10/18/2007 16:05,10/18/2007 18:05,120,-0.076,I,6.328,I,NULL,0,24,2,16
MS99,10/18/2007 21:00,10/18/2007 19:05,10/18/2007 20:05,60,1.079,I,3.26,I,NULL,0,12,2,12
MS99,10/18/2007 23:00,10/18/2007 21:05,10/18/2007 22:05,60,0.481,I,2.444,I,NULL,0,12,2,12
MS99,10/19/2007 1:00,10/18/2007 23:05,10/19/2007 0:05,60,2.297,I,4.403,I,NULL,0,12,2,12
MS99,10/19/2007 3:00,10/19/2007 1:05,10/19/2007 2:05,60,0.346,I,1.633,I,NULL,0,12,2,12
MS99,10/19/2007 5:00,10/19/2007 3:05,10/19/2007 4:05,60,0.981,I,2.184,I,NULL,0,12,2,12
MS99,10/19/2007 7:00,10/19/2007 5:05,10/19/2007 6:05,60,1.342,I,2.278,I,NULL,0,12,2,12
MS99,10/19/2007 9:00,10/19/2007 7:05,10/19/2007 8:05,60,0.774,I,2.247,I,NULL,0,12,2,12
MS99,10/19/2007 13:00,10/19/2007 9:05,10/19/2007 12:05,180,5.831,I,16.276,I,NULL,0,36,2,19
MS99,10/19/2007 16:05,10/19/2007 13:05,10/19/2007 14:05,60,3.685,I,10.016,I,NULL,0,12,2,12
MS99,10/19/2007 18:00,10/19/2007 16:05,10/19/2007 17:05,60,3.766,I,26.256,I,NULL,0,12,2,12
MS99,10/19/2007 20:00,10/19/2007 18:05,10/19/2007 19:05,60,3.035,I,4.224,I,NULL,0,12,2,12
MS99,10/19/2007 22:00,10/19/2007 20:05,10/19/2007 21:05,60,2.917,I,2.737,I,NULL,0,12,2,12
