SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
NH06,1/1/2009 0:57,12/31/2008 23:57,1/1/2009 0:17,20,6.701,I,2.468,I,NULL,0,4,0,4
NH06,1/1/2009 3:42,1/1/2009 1:02,1/1/2009 3:02,120,7.653,I,3.311,I,NULL,0,24,2,24
NH06,1/1/2009 6:27,1/1/2009 3:47,1/1/2009 5:47,120,51.57,I,1.33,I,NULL,0,24,2,24
NH06,1/1/2009 9:12,1/1/2009 6:32,1/1/2009 8:32,120,40.627,I,4.828,I,NULL,0,24,2,24
NH06,1/1/2009 11:57,1/1/2009 9:17,1/1/2009 11:17,120,26.54,I,1.895,I,NULL,0,24,2,24
NH06,1/1/2009 14:42,1/1/2009 12:02,1/1/2009 14:02,120,18.08,I,2.137,I,NULL,0,24,2,24
NH06,1/1/2009 18:07,1/1/2009 15:27,1/1/2009 17:27,120,13.008,I,3.473,I,NULL,0,24,2,24
NH06,1/1/2009 20:52,1/1/2009 18:12,1/1/2009 20:12,120,11.334,I,4.164,I,NULL,0,24,2,24
NH06,1/1/2009 23:37,1/1/2009 20:57,1/1/2009 22:57,120,0.25,I,0.784,I,NULL,0,24,2,24
NH06,1/2/2009 2:22,1/1/2009 23:42,1/2/2009 1:42,120,0,I,0.777,I,NULL,0,24,2,24
NH06,1/2/2009 5:07,1/2/2009 2:27,1/2/2009 4:27,120,0,I,1.039,I,NULL,0,24,2,24
NH06,1/2/2009 7:52,1/2/2009 5:12,1/2/2009 7:12,120,0,I,0.853,I,NULL,0,24,2,24
NH06,1/2/2009 10:37,1/2/2009 7:57,1/2/2009 9:57,120,0.262,I,1.195,I,NULL,0,24,2,24
NH06,1/2/2009 13:22,1/2/2009 10:42,1/2/2009 12:42,120,0,I,0.773,I,NULL,0,24,2,24
NH06,1/2/2009 16:07,1/2/2009 13:27,1/2/2009 15:27,120,32.498,I,19.22,I,NULL,0,24,2,24
NH06,1/2/2009 18:52,1/2/2009 16:12,1/2/2009 18:12,120,11.116,I,7.276,I,NULL,0,24,2,24
NH06,1/2/2009 21:37,1/2/2009 18:57,1/2/2009 20:57,120,0,I,6.125,I,NULL,0,24,2,24
NH06,1/3/2009 0:22,1/2/2009 21:42,1/2/2009 23:42,120,-0.26,I,7.006,I,NULL,0,24,2,24
NH06,1/3/2009 3:47,1/3/2009 1:07,1/3/2009 3:07,120,0,I,4.661,I,NULL,0,24,2,24
NH06,1/3/2009 6:32,1/3/2009 3:52,1/3/2009 5:52,120,0,I,0.168,I,NULL,0,24,2,24
NH06,1/3/2009 9:17,1/3/2009 6:37,1/3/2009 8:37,120,0,I,0.196,I,NULL,0,24,2,24
NH06,1/3/2009 12:02,1/3/2009 9:22,1/3/2009 11:22,120,0,I,0,I,NULL,0,24,2,24
NH06,1/3/2009 14:47,1/3/2009 12:07,1/3/2009 14:07,120,0,I,0,I,NULL,0,24,2,24
NH06,1/3/2009 17:32,1/3/2009 14:52,1/3/2009 16:52,120,0.279,I,0,I,NULL,0,24,2,24
NH06,1/3/2009 20:17,1/3/2009 17:37,1/3/2009 19:37,120,0,I,15.451,I,NULL,0,24,2,24
NH06,1/3/2009 23:02,1/3/2009 20:22,1/3/2009 22:22,120,0,I,0,I,NULL,0,24,2,24
NH06,1/4/2009 1:47,1/3/2009 23:07,1/4/2009 1:07,120,0,I,0,I,NULL,0,24,2,24
NH06,1/4/2009 4:32,1/4/2009 1:52,1/4/2009 3:52,120,0.271,I,4.329,I,NULL,0,24,2,24
NH06,1/4/2009 7:17,1/4/2009 4:37,1/4/2009 6:37,120,0.311,I,0.982,I,NULL,0,24,2,24
NH06,1/4/2009 10:02,1/4/2009 7:22,1/4/2009 9:22,120,-0.349,I,0.297,I,NULL,0,24,2,24
