SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
NJ32,3/18/2005 14:30,3/18/2005 11:10,3/18/2005 13:35,145,4531.499,V,668.072,I,2.353294,17,29,2,19
NJ32,3/18/2005 16:30,3/18/2005 14:35,3/18/2005 15:35,60,30.021,I,52.864,I,1.4349,10,12,2,12
NJ32,3/18/2005 18:30,3/18/2005 16:35,3/18/2005 17:35,60,20.023,V,27.886,V,1.3768,10,12,2,12
NJ32,3/18/2005 20:30,3/18/2005 18:35,3/18/2005 19:35,60,21.39,V,21.465,V,1.3817,10,12,2,12
NJ32,3/18/2005 22:30,3/18/2005 20:35,3/18/2005 21:35,60,14.641,V,15.604,V,1.3657,10,12,2,12
NJ32,3/19/2005 0:30,3/18/2005 22:35,3/18/2005 23:35,60,12.985,V,12.078,V,1.3625,10,12,2,12
NJ32,3/19/2005 2:30,3/19/2005 0:35,3/19/2005 1:35,60,12.294,V,11.131,V,1.3583,10,12,2,12
NJ32,3/19/2005 4:30,3/19/2005 2:35,3/19/2005 3:35,60,14.331,V,10.454,V,1.3613,10,12,2,12
NJ32,3/19/2005 6:30,3/19/2005 4:35,3/19/2005 5:35,60,14.278,V,9.367,V,1.3603,10,12,2,12
NJ32,3/19/2005 8:30,3/19/2005 6:35,3/19/2005 7:35,60,12.733,V,9.502,V,1.3836,10,12,2,12
NJ32,3/19/2005 10:30,3/19/2005 8:35,3/19/2005 9:35,60,11.537,V,15.173,V,1.3916,10,12,2,12
NJ32,3/19/2005 12:30,3/19/2005 10:35,3/19/2005 11:35,60,10.14,V,15.69,V,1.359,10,12,2,12
NJ32,3/19/2005 15:10,3/19/2005 13:15,3/19/2005 14:15,60,12.466,V,18.997,V,1.5151,10,12,2,12
NJ32,3/19/2005 17:10,3/19/2005 15:15,3/19/2005 16:15,60,11.171,V,16.53,V,1.4889,10,12,2,12
NJ32,3/19/2005 19:10,3/19/2005 17:15,3/19/2005 18:15,60,10.833,V,11.56,V,1.4888,10,12,2,12
NJ32,3/19/2005 21:10,3/19/2005 19:15,3/19/2005 20:15,60,6.349,V,9.249,V,1.4096,10,12,2,12
NJ32,3/19/2005 23:10,3/19/2005 21:15,3/19/2005 22:15,60,6.58,V,11.785,V,1.3713,10,12,2,12
NJ32,3/20/2005 1:10,3/19/2005 23:15,3/20/2005 0:15,60,6.643,V,14.956,V,1.3702,10,12,2,12
NJ32,3/20/2005 3:10,3/20/2005 1:15,3/20/2005 2:15,60,6.166,V,14.627,V,1.3612,10,12,2,12
NJ32,3/20/2005 5:10,3/20/2005 3:15,3/20/2005 4:15,60,4.71,V,9.98,V,1.3762,10,12,2,12
NJ32,3/20/2005 7:10,3/20/2005 5:15,3/20/2005 6:15,60,4.715,V,9.257,V,1.3819,10,12,2,12
NJ32,3/20/2005 9:10,3/20/2005 7:15,3/20/2005 8:15,60,7.787,V,5.942,V,1.4995,10,12,2,12
NJ32,3/20/2005 11:10,3/20/2005 9:15,3/20/2005 10:15,60,6.865,V,4.73,V,1.6087,10,12,2,12
NJ32,3/20/2005 13:10,3/20/2005 11:15,3/20/2005 12:15,60,3.106,V,3.842,V,1.6318,10,12,2,12
NJ32,3/20/2005 15:50,3/20/2005 13:55,3/20/2005 14:55,60,3.409,V,3.808,V,1.6854,10,12,2,12
NJ32,3/20/2005 17:50,3/20/2005 15:55,3/20/2005 16:55,60,2.664,V,4.097,V,1.6815,10,12,2,12
NJ32,3/20/2005 19:50,3/20/2005 17:55,3/20/2005 18:55,60,1.918,V,3.572,V,1.5903,10,12,2,12
