SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
NS01,1/22/2009 14:00,1/22/2009 11:05,1/22/2009 13:05,120,127.922,I,11.493,I,NULL,0,24,0,24
NS01,1/22/2009 17:00,1/22/2009 14:05,1/22/2009 16:05,120,8.086,I,2.463,I,NULL,0,24,2,24
NS01,1/22/2009 20:00,1/22/2009 17:05,1/22/2009 19:05,120,9.548,I,0.873,I,NULL,0,24,2,24
NS01,1/22/2009 23:00,1/22/2009 20:05,1/22/2009 22:05,120,10.32,I,0.862,I,NULL,0,24,2,24
NS01,1/23/2009 2:00,1/22/2009 23:05,1/23/2009 1:05,120,8.085,I,0.387,I,NULL,0,24,2,24
NS01,1/23/2009 5:00,1/23/2009 2:05,1/23/2009 4:05,120,4.439,I,0.464,I,NULL,0,24,2,24
NS01,1/23/2009 8:00,1/23/2009 5:05,1/23/2009 7:05,120,8.321,I,0.47,I,NULL,0,24,2,24
NS01,1/23/2009 11:00,1/23/2009 8:05,1/23/2009 10:05,120,20.578,I,-0.009,I,NULL,0,24,2,24
NS01,1/23/2009 14:00,1/23/2009 11:05,1/23/2009 13:05,120,16.779,I,1.748,I,NULL,0,24,2,24
NS01,1/23/2009 17:00,1/23/2009 14:05,1/23/2009 16:05,120,12.328,I,1.569,I,NULL,0,24,2,24
NS01,1/23/2009 20:00,1/23/2009 17:05,1/23/2009 19:05,120,9.587,I,0.758,I,NULL,0,24,2,24
NS01,1/23/2009 23:00,1/23/2009 20:05,1/23/2009 22:05,120,9.147,I,0.671,I,NULL,0,24,2,24
NS01,1/24/2009 2:00,1/23/2009 23:05,1/24/2009 1:05,120,7.491,I,0.29,I,NULL,0,24,2,24
NS01,1/24/2009 5:00,1/24/2009 2:05,1/24/2009 4:05,120,18.289,I,0.589,I,NULL,0,24,2,24
NS01,1/24/2009 8:00,1/24/2009 5:05,1/24/2009 7:05,120,17.108,I,0.244,I,NULL,0,24,2,24
NS01,1/24/2009 11:00,1/24/2009 8:05,1/24/2009 10:05,120,14.404,I,0.635,I,NULL,0,24,2,24
NS01,1/24/2009 14:00,1/24/2009 11:05,1/24/2009 13:05,120,8.146,I,1.026,I,NULL,0,24,2,24
NS01,1/24/2009 17:00,1/24/2009 14:05,1/24/2009 16:05,120,17.27,I,1.118,I,NULL,0,24,2,24
NS01,1/24/2009 20:00,1/24/2009 17:05,1/24/2009 19:05,120,7.663,I,0.815,I,NULL,0,24,2,24
NS01,1/24/2009 23:00,1/24/2009 20:05,1/24/2009 22:05,120,10.52,I,0.868,I,NULL,0,24,2,24
NS01,1/25/2009 2:00,1/24/2009 23:05,1/25/2009 1:05,120,14.214,I,0.991,I,NULL,0,24,2,24
NS01,1/25/2009 5:00,1/25/2009 2:05,1/25/2009 4:05,120,12.286,I,0.679,I,NULL,0,24,2,24
NS01,1/25/2009 8:00,1/25/2009 5:05,1/25/2009 7:05,120,13.492,I,0.741,I,NULL,0,24,2,24
NS01,1/25/2009 11:00,1/25/2009 8:05,1/25/2009 10:05,120,12.369,I,0.619,I,NULL,0,24,2,24
NS01,1/25/2009 14:40,1/25/2009 11:45,1/25/2009 13:45,120,7.828,V,0.801,V,1.5552,15,24,2,24
NS01,1/25/2009 17:40,1/25/2009 14:45,1/25/2009 16:45,120,6.121,V,0.499,V,1.552636,22,24,2,24
NS01,1/25/2009 20:40,1/25/2009 17:45,1/25/2009 19:45,120,3.085,V,0.253,V,1.535863,22,24,2,24
NS01,1/25/2009 23:40,1/25/2009 20:45,1/25/2009 22:45,120,6.264,V,0.23,V,1.51909,22,24,2,24
NS01,1/26/2009 2:40,1/25/2009 23:45,1/26/2009 1:45,120,9.5,V,0.279,V,1.537045,22,24,2,24
NS01,1/26/2009 5:40,1/26/2009 2:45,1/26/2009 4:45,120,12.209,V,0.497,V,1.538272,22,24,2,24
NS01,1/26/2009 8:40,1/26/2009 5:45,1/26/2009 7:45,120,12.718,V,0.461,V,1.534909,22,24,2,24
NS01,1/26/2009 11:40,1/26/2009 8:45,1/26/2009 10:45,120,14.062,V,0.918,V,1.5745,22,24,2,24
