SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
NY95,9/26/2008 3:20,9/26/2008 0:25,9/26/2008 2:25,120,17.83,I,13.889,I,NULL,0,24,0,24
NY95,9/26/2008 6:20,9/26/2008 3:25,9/26/2008 5:25,120,11.449,I,9.62,I,NULL,0,24,2,24
NY95,9/26/2008 9:20,9/26/2008 6:25,9/26/2008 8:25,120,-0.768,I,0.524,I,NULL,0,24,2,24
NY95,9/26/2008 13:15,9/26/2008 9:25,9/26/2008 12:20,175,11.378,I,14.238,I,1.28647,17,35,2,26
NY95,9/26/2008 16:15,9/26/2008 13:20,9/26/2008 15:20,120,14.397,I,13.67,I,1.282545,22,24,2,24
NY95,9/26/2008 19:15,9/26/2008 16:20,9/26/2008 18:20,120,15.781,V,13.429,V,1.341681,22,24,2,24
NY95,9/26/2008 22:15,9/26/2008 19:20,9/26/2008 21:20,120,14.073,V,12.285,V,1.33459,22,24,2,24
NY95,9/27/2008 1:15,9/26/2008 22:20,9/27/2008 0:20,120,13.985,V,12.13,V,1.234863,22,24,2,24
NY95,9/27/2008 4:15,9/27/2008 1:20,9/27/2008 3:20,120,17.634,V,10.4,V,1.229454,22,24,2,24
NY95,9/27/2008 7:15,9/27/2008 4:20,9/27/2008 6:20,120,12.107,V,9.475,V,1.1985,22,24,2,24
NY95,9/27/2008 10:15,9/27/2008 7:20,9/27/2008 9:20,120,14.852,V,11.864,V,1.185181,22,24,2,24
NY95,9/27/2008 13:15,9/27/2008 10:20,9/27/2008 12:20,120,13.902,V,9.842,V,1.318045,22,24,2,24
NY95,9/27/2008 16:15,9/27/2008 13:20,9/27/2008 15:20,120,11.975,V,10.115,V,1.280818,22,24,2,24
NY95,9/27/2008 19:15,9/27/2008 16:20,9/27/2008 18:20,120,11.836,V,8.332,V,1.28959,22,24,2,24
NY95,9/27/2008 22:15,9/27/2008 19:20,9/27/2008 21:20,120,10.389,V,9.166,V,1.220772,22,24,2,24
NY95,9/28/2008 1:15,9/27/2008 22:20,9/28/2008 0:20,120,11.157,V,10.183,V,1.261818,22,24,2,24
NY95,9/28/2008 4:15,9/28/2008 1:20,9/28/2008 3:20,120,10.984,V,9.502,V,1.207863,22,24,2,24
NY95,9/28/2008 7:15,9/28/2008 4:20,9/28/2008 6:20,120,10.924,V,10.376,V,1.221954,22,24,2,24
NY95,9/28/2008 10:15,9/28/2008 7:20,9/28/2008 9:20,120,10.246,V,9.868,V,1.200363,22,24,2,24
