SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
OH02,1/1/2007 0:50,NULL,NULL,NULL,2.783,I,2.762,I,NULL,0,NULL,0,0
OH02,1/1/2007 2:50,1/1/2007 0:55,1/1/2007 1:55,60,3.938,I,2.635,I,NULL,0,12,2,12
OH02,1/1/2007 4:50,1/1/2007 2:55,1/1/2007 3:55,60,4.458,I,2.882,I,NULL,0,12,2,12
OH02,1/1/2007 6:50,1/1/2007 4:55,1/1/2007 5:55,60,3.81,I,2.95,I,NULL,0,12,2,12
OH02,1/1/2007 8:50,1/1/2007 6:55,1/1/2007 7:55,60,3.494,I,1.636,I,NULL,0,12,2,12
OH02,1/1/2007 10:50,1/1/2007 8:55,1/1/2007 9:55,60,3.117,I,1.382,I,NULL,0,12,2,12
OH02,1/1/2007 12:50,1/1/2007 10:55,1/1/2007 11:55,60,2.236,I,3.638,I,NULL,0,12,2,12
OH02,1/1/2007 14:50,1/1/2007 12:55,1/1/2007 13:55,60,1.967,I,2.541,I,NULL,0,12,2,12
OH02,1/1/2007 16:50,1/1/2007 14:55,1/1/2007 15:55,60,1.125,I,0.229,I,NULL,0,12,2,12
OH02,1/1/2007 18:50,1/1/2007 16:55,1/1/2007 17:55,60,0.685,I,0,I,NULL,0,12,2,12
OH02,1/1/2007 20:50,1/1/2007 18:55,1/1/2007 19:55,60,1.84,I,0,I,NULL,0,12,2,12
OH02,1/1/2007 22:50,1/1/2007 20:55,1/1/2007 21:55,60,1.737,I,0.709,I,NULL,0,12,2,12
OH02,1/2/2007 0:50,1/1/2007 22:55,1/1/2007 23:55,60,2.636,I,0.428,I,NULL,0,12,2,12
OH02,1/2/2007 2:50,1/2/2007 0:55,1/2/2007 1:55,60,2.854,I,0.203,I,NULL,0,12,2,12
OH02,1/2/2007 4:50,1/2/2007 2:55,1/2/2007 3:55,60,0,I,0,I,NULL,0,12,2,12
OH02,1/2/2007 6:50,1/2/2007 4:55,1/2/2007 5:55,60,0.954,I,0,I,NULL,0,12,2,12
OH02,1/2/2007 8:50,1/2/2007 6:55,1/2/2007 7:55,60,0,I,0,I,NULL,0,12,2,12
OH02,1/3/2007 18:50,1/3/2007 16:55,1/3/2007 17:55,60,9.412,I,2.925,I,NULL,0,12,0,12
OH02,1/3/2007 20:50,1/3/2007 18:55,1/3/2007 19:55,60,3.52,I,1.514,I,NULL,0,12,2,12
OH02,1/3/2007 22:50,1/3/2007 20:55,1/3/2007 21:55,60,2.432,I,3.115,I,NULL,0,12,2,12
OH02,1/4/2007 0:50,1/3/2007 22:55,1/3/2007 23:55,60,3.448,I,2.655,I,NULL,0,12,2,12
OH02,1/4/2007 2:50,1/4/2007 0:55,1/4/2007 1:55,60,2.36,I,2.409,I,NULL,0,12,2,12
OH02,1/4/2007 4:50,1/4/2007 2:55,1/4/2007 3:55,60,3.984,I,1.869,I,NULL,0,12,2,12
OH02,1/4/2007 6:50,1/4/2007 4:55,1/4/2007 5:55,60,4.88,I,1.905,I,NULL,0,12,2,12
OH02,1/4/2007 8:50,1/4/2007 6:55,1/4/2007 7:55,60,4.294,I,2.348,I,NULL,0,12,2,12
OH02,1/4/2007 10:50,1/4/2007 8:55,1/4/2007 9:55,60,3.966,I,4.602,I,NULL,0,12,2,12
OH02,1/4/2007 12:50,1/4/2007 10:55,1/4/2007 11:55,60,2.519,I,5.317,I,NULL,0,12,2,12
OH02,1/4/2007 14:50,1/4/2007 12:55,1/4/2007 13:55,60,2.298,I,5.575,I,NULL,0,12,2,12
OH02,1/4/2007 16:50,1/4/2007 14:55,1/4/2007 15:55,60,1.807,I,6.698,I,NULL,0,12,2,12
OH02,1/4/2007 18:50,1/4/2007 16:55,1/4/2007 17:55,60,2.367,I,6.146,I,NULL,0,12,2,12
OH02,1/4/2007 20:50,1/4/2007 18:55,1/4/2007 19:55,60,2.383,I,5.595,I,NULL,0,12,2,12
OH02,1/4/2007 22:50,1/4/2007 20:55,1/4/2007 21:55,60,1.469,I,6.116,I,NULL,0,12,2,12
OH02,1/5/2007 0:50,1/4/2007 22:55,1/4/2007 23:55,60,1.13,I,4.278,I,NULL,0,12,2,12
OH02,1/5/2007 2:50,1/5/2007 0:55,1/5/2007 1:55,60,1.02,I,5.163,I,NULL,0,12,2,12
OH02,1/5/2007 4:50,1/5/2007 2:55,1/5/2007 3:55,60,1.263,I,3.126,I,NULL,0,12,2,12
