SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
UT97,11/23/2008 2:00,11/23/2008 0:05,11/23/2008 1:05,60,11.724,I,3.697,I,NULL,0,12,0,11
UT97,11/23/2008 4:00,11/23/2008 2:05,11/23/2008 3:05,60,12.926,I,2.417,I,NULL,0,12,2,12
UT97,11/23/2008 6:00,11/23/2008 4:05,11/23/2008 5:05,60,11.853,I,1.935,I,NULL,0,12,2,12
UT97,12/1/2008 0:10,11/30/2008 23:50,12/1/2008 0:05,15,10.075,I,1.434,I,NULL,0,3,0,3
UT97,12/1/2008 1:00,11/30/2008 23:50,12/1/2008 0:05,15,39.471,I,6.525,I,NULL,0,3,0,3
UT97,12/1/2008 3:00,12/1/2008 1:05,12/1/2008 2:05,60,19.098,I,1.982,I,NULL,0,12,2,12
UT97,12/1/2008 5:00,12/1/2008 3:05,12/1/2008 4:00,55,13.974,I,1.378,I,NULL,0,11,2,11
UT97,12/1/2008 7:00,12/1/2008 5:05,12/1/2008 6:05,60,14.186,I,0.78,I,NULL,0,12,2,12
UT97,12/1/2008 10:00,12/1/2008 8:05,12/1/2008 9:05,60,10.984,V,1.349,V,1.868,6,12,2,11
UT97,12/1/2008 12:00,12/1/2008 10:05,12/1/2008 11:05,60,5.835,V,1.305,V,1.9535,10,12,2,12
UT97,12/1/2008 14:00,12/1/2008 12:05,12/1/2008 13:05,60,3.031,V,4.915,V,1.5971,10,12,2,12
UT97,12/1/2008 16:15,12/1/2008 14:05,12/1/2008 15:05,60,2.808,V,7.145,V,1.6042,10,12,2,12
UT97,12/1/2008 18:10,12/1/2008 16:15,12/1/2008 17:15,60,4.394,V,7.237,V,1.662777,9,12,2,11
UT97,12/1/2008 20:10,12/1/2008 18:15,12/1/2008 19:15,60,4.602,V,12.165,V,1.7214,10,12,2,12
UT97,12/1/2008 22:10,12/1/2008 20:15,12/1/2008 21:15,60,7.022,V,6.561,V,2.1852,10,12,2,12
UT97,12/2/2008 0:10,12/1/2008 22:15,12/1/2008 23:15,60,5.159,V,7.546,V,1.9076,10,12,2,12
UT97,12/2/2008 2:10,12/2/2008 0:15,12/2/2008 1:15,60,4.098,V,6.932,V,1.7931,10,12,2,12
UT97,12/2/2008 4:10,12/2/2008 2:15,12/2/2008 3:15,60,3.649,V,3.842,V,1.9294,10,12,2,12
UT97,12/2/2008 6:10,12/2/2008 4:15,12/2/2008 5:15,60,2.72,V,4.207,V,1.8928,10,12,2,12
UT97,12/2/2008 14:16,12/2/2008 12:21,12/2/2008 13:21,60,23.598,V,113.723,V,3.1405,8,12,2,11
UT97,12/2/2008 18:55,12/2/2008 15:10,12/2/2008 18:00,170,28.396,I,34.407,V,2.035333,18,34,2,20
UT97,12/2/2008 20:55,12/2/2008 19:00,12/2/2008 20:00,60,9.256,I,17.228,I,1.738,10,12,2,12
UT97,12/2/2008 22:55,12/2/2008 21:00,12/2/2008 22:00,60,9.286,V,15.472,V,1.6814,10,12,2,12
UT97,12/3/2008 0:55,12/2/2008 23:00,12/3/2008 0:00,60,172.394,V,38.459,V,2.0015,10,12,2,12
UT97,12/3/2008 2:55,12/3/2008 1:00,12/3/2008 2:00,60,10.231,V,20.892,V,1.7997,10,12,2,12
UT97,12/3/2008 4:55,12/3/2008 3:00,12/3/2008 4:00,60,7.385,V,18.623,V,1.5872,10,12,2,12
UT97,12/3/2008 6:55,12/3/2008 5:00,12/3/2008 6:00,60,7.98,V,23.901,V,1.6236,10,12,2,12
UT97,12/3/2008 8:55,12/3/2008 7:00,12/3/2008 8:00,60,9.818,V,23.885,V,1.6611,10,12,2,12
UT97,12/3/2008 10:55,12/3/2008 9:00,12/3/2008 10:00,60,15.094,V,33.198,V,1.51,10,12,2,12
UT97,12/3/2008 12:55,12/3/2008 11:00,12/3/2008 12:00,60,27.786,V,50.938,V,1.263,10,12,2,12
UT97,12/3/2008 14:55,12/3/2008 13:00,12/3/2008 14:00,60,34.267,V,72.01,V,1.2832,10,12,2,12
UT97,12/3/2008 16:55,12/3/2008 15:00,12/3/2008 16:00,60,22.853,V,75.931,V,1.2374,10,12,2,12
UT97,12/3/2008 20:00,12/3/2008 17:00,12/3/2008 19:05,125,21.615,I,42.9,V,1.6774,10,25,2,12
UT97,12/3/2008 22:00,12/3/2008 20:05,12/3/2008 21:05,60,34.974,I,35.724,I,1.7032,10,12,2,12
UT97,12/4/2008 0:00,12/3/2008 22:05,12/3/2008 23:05,60,30.948,V,25.252,V,1.6686,10,12,2,12
UT97,12/4/2008 2:00,12/4/2008 0:05,12/4/2008 1:05,60,25.444,V,19.147,V,2.167,10,12,2,12
UT97,12/4/2008 4:00,12/4/2008 2:05,12/4/2008 3:05,60,14.405,V,13.758,V,1.7186,10,12,2,12
UT97,12/4/2008 6:00,12/4/2008 4:05,12/4/2008 5:05,60,13.869,V,15.295,V,2.1313,10,12,2,12
UT97,12/4/2008 8:00,12/4/2008 6:05,12/4/2008 7:05,60,25.373,V,13.291,V,2.007,10,12,2,12
UT97,12/4/2008 10:00,12/4/2008 8:05,12/4/2008 9:05,60,19.967,V,14.456,V,2.1698,10,12,2,12
UT97,12/4/2008 12:00,12/4/2008 10:05,12/4/2008 11:05,60,6.657,V,8.48,V,1.7264,10,12,2,12
UT97,12/4/2008 14:00,12/4/2008 12:05,12/4/2008 13:05,60,6.492,V,8.878,V,1.6185,10,12,2,12
UT97,12/4/2008 16:00,12/4/2008 14:05,12/4/2008 15:00,55,6.909,I,11.344,V,1.634,9,11,2,11
UT97,12/4/2008 18:00,12/4/2008 16:05,12/4/2008 17:05,60,44.013,I,31.866,I,16.947,10,12,2,12
UT97,12/4/2008 21:00,12/4/2008 19:05,12/4/2008 20:05,60,61.454,V,27.735,V,11.07122,9,12,2,11
UT97,12/4/2008 23:00,12/4/2008 21:05,12/4/2008 22:05,60,19.621,V,14.205,V,1.5685,10,12,2,12
UT97,12/5/2008 1:00,12/4/2008 23:05,12/5/2008 0:05,60,22.866,V,16.021,V,1.7811,10,12,2,12
UT97,12/5/2008 3:00,12/5/2008 1:05,12/5/2008 2:05,60,23.253,V,14.748,V,1.9937,10,12,2,12
UT97,12/5/2008 5:00,12/5/2008 3:05,12/5/2008 4:05,60,20.106,V,13.095,V,1.9138,10,12,2,12
UT97,12/5/2008 7:00,12/5/2008 5:05,12/5/2008 6:05,60,9.411,V,10.911,V,1.7855,10,12,2,12
UT97,12/5/2008 9:00,12/5/2008 7:05,12/5/2008 8:05,60,9.024,V,9.542,V,1.7898,10,12,2,12
UT97,12/5/2008 11:00,12/5/2008 9:05,12/5/2008 10:05,60,6.844,V,9.857,V,1.6701,10,12,2,12
UT97,12/5/2008 13:00,12/5/2008 11:05,12/5/2008 12:05,60,9.185,V,10.581,V,1.6476,10,12,2,12
UT97,12/5/2008 15:00,12/5/2008 13:05,12/5/2008 14:05,60,8.97,V,8.82,V,1.6038,10,12,2,12
UT97,12/5/2008 17:00,12/5/2008 15:05,12/5/2008 16:00,55,7.99,I,9.494,V,1.554444,9,11,2,11
UT97,12/5/2008 19:00,12/5/2008 17:05,12/5/2008 18:05,60,17.053,I,12.398,I,1.7818,10,12,2,12
UT97,12/5/2008 22:00,12/5/2008 20:05,12/5/2008 21:05,60,10.452,V,12.293,V,1.978333,9,12,2,11
