SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
VT99,1/1/2008 3:00,1/1/2008 0:05,1/1/2008 2:05,120,8.169,I,0.71,I,NULL,0,24,0,24
VT99,1/1/2008 6:00,1/1/2008 3:05,1/1/2008 5:05,120,7.984,I,0.843,I,NULL,0,24,2,24
VT99,1/1/2008 9:00,1/1/2008 6:05,1/1/2008 8:05,120,7.766,I,1.101,I,NULL,0,24,2,24
VT99,1/1/2008 12:05,1/1/2008 9:05,1/1/2008 11:05,120,3.931,I,1.73,I,NULL,0,24,2,24
VT99,1/1/2008 15:05,1/1/2008 12:10,1/1/2008 14:10,120,7.497,I,1.185,I,NULL,0,24,2,24
VT99,1/1/2008 18:05,1/1/2008 15:10,1/1/2008 17:10,120,5.497,I,1.087,I,NULL,0,24,2,24
VT99,1/1/2008 21:05,1/1/2008 18:10,1/1/2008 20:10,120,4.667,I,0.734,I,NULL,0,24,2,24
VT99,1/2/2008 1:00,1/1/2008 21:05,1/2/2008 0:05,180,4.741,I,0.564,I,1.733588,17,36,2,26
VT99,1/2/2008 4:00,1/2/2008 1:05,1/2/2008 3:05,120,4.187,I,0.22,I,1.687136,22,24,2,24
VT99,1/2/2008 7:00,1/2/2008 4:05,1/2/2008 6:05,120,8.843,V,0,V,1.632454,22,24,2,24
VT99,1/2/2008 10:00,1/2/2008 7:05,1/2/2008 9:05,120,13.274,V,0,V,1.613,22,24,2,24
VT99,1/2/2008 13:00,1/2/2008 10:05,1/2/2008 12:05,120,26.333,V,0.404,V,1.611227,22,24,2,24
VT99,1/2/2008 16:00,1/2/2008 13:05,1/2/2008 15:05,120,13.428,V,1.547,V,1.675227,22,24,2,24
VT99,1/2/2008 19:00,1/2/2008 16:05,1/2/2008 18:05,120,25.553,V,1.143,V,1.619045,22,24,2,24
VT99,1/2/2008 22:00,1/2/2008 19:05,1/2/2008 21:05,120,8.166,V,0.774,V,1.60459,22,24,2,24
VT99,1/3/2008 2:00,1/2/2008 22:00,1/3/2008 1:05,185,11.423,I,1.929,I,1.581913,23,37,2,25
VT99,1/3/2008 5:00,1/3/2008 2:05,1/3/2008 4:05,120,8.081,I,1.396,I,1.559272,22,24,2,24
