SiteId,datetime,Start,End,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,Valid_GEM,PossibleGEM,Excluded_GEM,ALL_GEM
WV99,1/1/2007 0:45,12/31/2006 23:55,1/1/2007 0:05,10,4.083,I,0,I,NULL,0,2,0,2
WV99,1/1/2007 2:20,1/1/2007 0:50,1/1/2007 1:40,50,4.914,I,-1.143,I,NULL,0,10,2,10
WV99,1/1/2007 3:55,1/1/2007 2:25,1/1/2007 3:15,50,8.86,I,0,I,NULL,0,10,2,10
WV99,1/1/2007 5:30,1/1/2007 4:00,1/1/2007 4:50,50,6.963,I,-1.599,I,NULL,0,10,2,10
WV99,1/1/2007 7:05,1/1/2007 5:35,1/1/2007 6:25,50,5.421,I,-1.545,I,NULL,0,10,2,10
WV99,1/1/2007 8:40,1/1/2007 7:10,1/1/2007 8:00,50,5.926,I,-0.948,I,NULL,0,10,2,10
WV99,1/1/2007 10:15,1/1/2007 8:45,1/1/2007 9:35,50,9.336,I,0,I,NULL,0,10,2,10
WV99,1/1/2007 11:50,1/1/2007 10:20,1/1/2007 11:10,50,7.423,I,0.471,I,NULL,0,10,2,10
WV99,1/1/2007 13:25,1/1/2007 11:55,1/1/2007 12:45,50,4.869,I,1.24,I,NULL,0,10,2,10
WV99,1/1/2007 15:00,1/1/2007 13:30,1/1/2007 14:20,50,4.982,I,-0.392,I,NULL,0,10,2,10
WV99,1/1/2007 16:35,1/1/2007 15:05,1/1/2007 15:55,50,3.46,I,2.597,I,NULL,0,10,2,10
WV99,1/1/2007 18:10,1/1/2007 16:40,1/1/2007 17:30,50,5.541,I,0,I,NULL,0,10,2,10
WV99,1/1/2007 19:45,1/1/2007 18:15,1/1/2007 19:05,50,2.035,I,-1.914,I,NULL,0,10,2,10
WV99,1/1/2007 21:20,1/1/2007 19:50,1/1/2007 20:40,50,2.701,I,0,I,NULL,0,10,2,10
WV99,1/1/2007 22:55,1/1/2007 21:25,1/1/2007 22:15,50,1.102,I,-1.641,I,NULL,0,10,2,10
WV99,1/2/2007 0:30,1/1/2007 23:00,1/1/2007 23:50,50,0.896,I,-1.413,I,NULL,0,10,2,10
WV99,1/2/2007 2:05,1/2/2007 0:35,1/2/2007 1:25,50,-0.022,I,-1.26,I,NULL,0,10,2,10
