siteID,siteName,status,startdate,stopdate,county,state,latitude,longitude,elevation
CA75,Sequoia National Park-Giant Forest,A,07/22/2003,NULL,Tulare,CA,36.5661,-118.7780,1921
CO99,Mesa Verde National Park-Chapin Mesa,A,12/26/2001,NULL,Montezuma,CO,37.1979,-108.4910,2162
CO97,Buffalo Pass - Summit Lake,A,09/29/1998,NULL,Routt,CO,40.5383,-106.6766,3234
CO96,Molas Pass,A,06/30/2009,NULL,San Juan,CO,37.7500,-107.6890,3248
FL11,Everglades National Park-Research Center,A,03/05/1996,NULL,Dade,FL,25.3900,-80.6800,2
ON03,Dorset, Ontario,I,01/21/1997,12/29/1998,Muskoka,ON,45.2239,-78.9311,320
IN20,Roush Lake,I,10/26/2000,01/26/2010,Huntington,IN,40.8401,-85.4639,244
ID03,Craters of the Moon National Monument,I,10/21/2006,12/31/2010,Butte,ID,43.4605,-113.5551,1807
WA18,Seattle/NOAA,A,03/19/1996,NULL,King,WA,47.6843,-122.2588,11
PQ04,St. Anicet,I,04/14/1998,09/04/2007,,PQ,45.2000,-74.0333,49
LA05,Lake Charles,I,10/09/1998,06/29/2010,Calcasieu,LA,30.1746,-93.1717,5
TX21,Longview,A,03/12/1996,NULL,Gregg,TX,32.3786,-94.7117,103
VT99,Underhill,A,07/27/2004,NULL,Chittenden,VT,44.5283,-72.8684,399
VA28,Shenandoah National Park-Big Meadows,A,10/22/2002,NULL,Madison,VA,38.5231,-78.4348,1072
WI09,Popple River,A,03/06/1996,NULL,Florence,WI,45.7964,-88.3994,421
WI36,Trout Lake,A,03/05/1996,NULL,Vilas,WI,46.0512,-89.6541,509
WI99,Lake Geneva,A,01/07/1997,NULL,Walworth,WI,42.5792,-88.5006,288
WY08,Yellowstone National Park-Tower Falls,A,10/21/2004,NULL,Park,WY,44.9166,-110.4203,1912
NS01,Kejimkujik National Park,A,07/02/1996,NULL,Queens,NS,44.4328,-65.2056,155
OR10,H. J. Andrews Experimental Forest,I,12/13/2002,01/04/2011,Lane,OR,44.2118,-122.2560,443
PA29,Kane Experimental Forest,A,06/01/2010,NULL,Elk,PA,41.5978,-78.7675,618
PA42,Leading Ridge,A,03/02/2010,NULL,Huntingdon,PA,40.6575,-77.9397,287
PA72,Milford,A,09/14/2000,NULL,Pike,PA,41.3273,-74.8199,212
TN11,Great Smoky Mountains National Park-Elkmont,A,01/30/2002,NULL,Sevier,TN,35.6645,-83.5903,640
MN18,Fernberg,A,03/05/1996,NULL,Lake,MN,47.9464,-91.4961,524
MA01,North Atlantic Coastal Lab,A,07/29/2003,NULL,Barnstable,MA,41.9759,-70.0241,57
ME02,Bridgton,A,06/03/1997,NULL,Cumberland,ME,44.1075,-70.7289,222
PQ05,Mingan,I,04/15/1998,09/04/2007,,PQ,50.2667,-64.2333,11
CA97,Covelo,I,12/16/1997,10/19/2000,Mendocino,CA,39.8237,-123.2382,418
DE02,Lewes,I,03/06/1996,10/15/1996,Sussex,DE,38.7722,-75.0992,2
FL04,Andytown,I,01/06/1998,10/17/2006,Broward,FL,26.1667,-80.5000,5
ME96,Casco Bay-Wolfe’s Neck Farm,A,01/06/1998,NULL,Cumberland,ME,43.8325,-70.0645,15
NB02,St. Andrews,I,07/02/1996,12/09/2003,Charlotte,NB,45.0833,-67.0833,10
NC08,Waccamaw State Park,A,02/27/1996,NULL,Columbus,NC,34.2592,-78.4777,10
NC42,Pettigrew State Park,A,02/28/1996,NULL,Washington,NC,35.7373,-76.5149,2
NH05,New Castle,I,03/27/2001,07/02/2002,Rockingham,NH,43.1667,-70.8667,10
NM10,Caballo,I,05/13/1997,01/06/2009,Sierra,NM,33.0625,-107.2917,1280
PA13,Allegheny Portage Railroad National Historic Site,A,01/07/1997,NULL,Cambria,PA,40.4570,-78.5600,739
PA90,Hills Creek State Park,A,01/07/1997,NULL,Tioga,PA,41.8043,-77.1903,476
SC19,Congaree Swamp,A,03/05/1996,NULL,Richland,SC,33.8145,-80.7809,34
WI08,Brule River,A,03/05/1996,NULL,Douglas,WI,46.7466,-91.6055,207
IL11,Bondville,A,01/06/1999,NULL,Champaign,IL,40.0528,-88.3719,212
NH00,Laconia,I,05/04/2001,12/31/2001,Belknap,NH,43.5000,-71.5000,NULL
FL34,Everglades Nutrient Removal Project,A,07/08/1997,NULL,Palm Beach,FL,26.6556,-80.3972,10
LA10,Chase,I,10/08/1998,06/29/2010,Franklin,LA,32.0970,-91.7110,20
LA28,Hammond,I,10/07/1998,06/29/2010,Tangipahoa,LA,30.5031,-90.3769,9
FL05,Chassahowitzka National Wildlife Refuge,A,07/01/1997,NULL,Citrus,FL,28.7486,-82.5551,3
GA09,Okefenokee National Wildlife Refuge,A,07/29/1997,NULL,Charlton,GA,30.7404,-82.1283,45
